"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152","testSearchCyberpunk()","","Thu Jan 22 15:08:21 UTC 2026","broken","Thu Jan 22 15:08:21 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"","159","testHomePageIsDisplayed()","","Thu Jan 22 15:08:20 UTC 2026","broken","Thu Jan 22 15:08:20 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","1020","contextLoads()","","Thu Jan 22 15:06:23 UTC 2026","passed","Thu Jan 22 15:06:24 UTC 2026","","hesias.selenium.practices.PracticesApplicationTests","hesias.selenium.practices.PracticesApplicationTests","contextLoads"
"","159","testSliderLeft()","","Thu Jan 22 15:08:20 UTC 2026","broken","Thu Jan 22 15:08:20 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"","161","testFilterGoodOldGames()","","Thu Jan 22 15:08:20 UTC 2026","broken","Thu Jan 22 15:08:20 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"Test de l'utilisation du slider de la page d'accueil vers la gauche","13048","testSliderLeft()","","Thu Jan 22 15:06:38 UTC 2026","broken","Thu Jan 22 15:06:51 UTC 2026","","hesias.selenium.practices.tests.HomeTest","hesias.selenium.practices.tests.HomeTest","testSliderLeft"
"Test de la recherche de Witcher et vérif que le premier résultat contient Witcher","5121","testFirstResultContainsWitcher()","","Thu Jan 22 15:08:10 UTC 2026","passed","Thu Jan 22 15:08:15 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testFirstResultContainsWitcher"
"","157","testClickFirstGameInSwiper()","","Thu Jan 22 15:08:20 UTC 2026","broken","Thu Jan 22 15:08:20 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"Test de la recherche de Cyberpunk","5221","testSearchCyberpunk()","","Thu Jan 22 15:08:00 UTC 2026","passed","Thu Jan 22 15:08:05 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testSearchCyberpunk"
"Test de la recherche de Binding of","4684","testSearchBindingOf()","","Thu Jan 22 15:08:15 UTC 2026","failed","Thu Jan 22 15:08:20 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testSearchBindingOf"
"Test de l'affichage de la page d'accueil","2275","testHomePageIsDisplayed()","","Thu Jan 22 15:06:51 UTC 2026","passed","Thu Jan 22 15:06:53 UTC 2026","","hesias.selenium.practices.tests.HomeTest","hesias.selenium.practices.tests.HomeTest","testHomePageIsDisplayed"
"","152","testFirstResultContainsWitcher()","","Thu Jan 22 15:08:21 UTC 2026","broken","Thu Jan 22 15:08:21 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"","154","testResetFilters()","","Thu Jan 22 15:08:20 UTC 2026","broken","Thu Jan 22 15:08:21 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"Test de la suppression des filtres","4681","testRemoveFilter()","","Thu Jan 22 15:08:05 UTC 2026","passed","Thu Jan 22 15:08:10 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testRemoveFilter"
"Test de la recherche de Cyberpunk et de l'application du filtre GOG","66520","testFilterGoodOldGames()","","Thu Jan 22 15:06:53 UTC 2026","passed","Thu Jan 22 15:08:00 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testFilterGoodOldGames"
"Test de qqch je sais plus","13585","testGoToGamePage()","","Thu Jan 22 15:06:24 UTC 2026","broken","Thu Jan 22 15:06:38 UTC 2026","","hesias.selenium.practices.tests.HomeTest","hesias.selenium.practices.tests.HomeTest","testGoToGamePage"
"","153","testSearchBindingOf()","","Thu Jan 22 15:08:21 UTC 2026","broken","Thu Jan 22 15:08:21 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"","157","testHomePageChangeLanguageToEn()","","Thu Jan 22 15:08:20 UTC 2026","broken","Thu Jan 22 15:08:20 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
